scan,side,min_cur,min_tree,nl_cur,nl_tree,l20_cur,l20_tree
328,right,0.9336219087462804,0.93361712106923,4,3,0.9456829786944664,0.9456789931758011
335,left,0.9322888885375036,0.9322888885375035,6,6,0.9729989152805748,0.9729989152805747
335,right,0.9366147454959448,0.9366147454959447,0,0,,
341,left,0.9630115341591002,0.96443449469249,6,4,0.967217616703028,
341,right,0.9649465994617028,0.9649465994617027,1,1,,
342,left,0.9360254847418128,0.9360254847418128,2,2,,
342,right,0.961202250390184,0.9612022503901841,0,0,,
354,left,0.9743091008007108,0.9745580238895843,6,3,0.9715321820528344,0.9717803527754223
354,right,0.9531951942589014,0.9531951942589014,0,0,,
363,left,0.9205161345759468,0.9205161345759469,3,3,0.9637067672199991,0.9637067672199991
363,right,0.9409214053693828,0.9409214053693828,0,0,,
368,left,0.9378058533612555,0.9378058533612555,2,2,0.9378058533612555,0.9378058533612555
368,right,0.8761832795223321,0.8803899045733738,7,6,0.8759783562713757,0.8801839320707325
377,left,0.9542018148486322,0.9542014170668827,6,5,0.9636645657131496,0.9636644532661464
377,right,0.8860382686449985,0.8860382686449985,3,3,0.918299178357361,0.918299178357361
381,left,0.9540918821602092,0.9545823208160841,7,6,0.956677836728896,0.9571696868492213
381,right,0.9372399855242278,0.9372399855242278,1,1,0.9621822345471054,0.9621822345471054
389,left,0.9045698838047872,0.9055401465124329,7,5,0.9117780461381374,0.9127565464112951
389,right,0.8148348092318055,0.8148348092318055,5,5,0.9133320530029851,0.9133320530029851
396,left,0.982460275625618,0.9824602756256181,3,3,0.980493595407973,0.980493595407973
396,right,0.7579780668242647,0.7607154242191955,7,5,0.8056147775234198,0.8086425547663448
406,left,0.9705752727562102,0.9705752727562102,1,1,0.9651039128060256,0.9651039128060255
406,right,0.8871717286930156,0.8871717286930156,4,4,0.9221995964232976,0.9221995964232975
408,left,0.9090737028642012,0.9096397995929603,5,4,0.9322576944099054,0.9322568775504554
408,right,0.8826680095692001,0.8826680095692001,3,3,0.8834713319640981,0.8834713319640981
417,left,0.9445980069237346,0.9445980069237346,3,3,0.9769879189745267,0.9769879189745267
417,right,0.9117798078287124,0.9117798078287123,1,1,0.969390392322609,0.969390392322609
422,left,0.9053435983379976,0.9053435983379976,3,3,0.9062466276072084,0.9062466276072083
422,right,0.9570242747539118,0.9570242747539118,2,2,,
423,left,0.9560803180494616,0.9560800314007136,3,2,0.9716678803585076,0.9716675887480368
423,right,0.934077921284174,0.934077921284174,1,1,0.9604202989439388,0.9604202989439388
431,left,0.8815487558555389,0.8815487558555389,2,2,0.8815487558555389,0.8815487558555389
431,right,0.907260929411954,0.9072609294119541,1,1,0.9657281210436582,0.9657281210436582
436,left,0.9879934602907317,0.9879931853521575,3,2,,
436,right,0.941588570331132,0.9415885703311319,0,0,,
448,left,0.9522060915463562,0.952647729733398,7,5,0.9610405784685564,0.9614866999253147
448,right,0.9255788499328652,0.9255788499328653,1,1,0.9567651243224498,0.9567651243224498
454,left,0.9615153474266268,0.9615153474266268,3,3,0.9760192849203686,0.9760192849203686
454,right,0.9556905776110932,0.9556681568703514,2,1,,
461,left,0.971464781828614,0.9714642218035411,4,3,,
461,right,0.9676140076707936,0.9675941297260106,9,7,,
465,left,0.9468480135218466,0.9468480135218466,3,3,0.9518204451796536,0.9518204451796535
465,right,0.9137938506858556,0.9137938506858556,0,0,,
466,left,0.9605722911202698,0.9605722911202698,2,2,0.9605722911202698,0.9605722911202698
466,right,0.9274126638161724,0.9274126638161725,0,0,,
471,left,0.958579456868008,0.9585783686572961,4,2,,
471,right,0.9123459317567232,0.9123459317567233,1,1,0.9652704299844972,0.9652704299844972
473,left,0.9476934874899748,0.9491997720533448,5,3,0.957993191641725,0.9595168662126435
473,right,0.9557118676469236,0.9557118676469235,1,1,,
474,left,0.9641451025572746,0.96472418239441,5,3,0.9771825033172354,0.9771822276691152
474,right,0.9125692710955228,0.91443907461603,3,2,0.9117236470733422,0.9135916056399761
488,left,0.957826657051606,0.9601931618839459,7,6,0.9701752430253644,0.9701747862751959
488,right,0.9428559757664392,0.9428429975581969,4,3,0.9492674045793044,0.9492559465583204
496,left,0.9198035863282104,0.9198035863282104,3,3,0.9253736255783224,0.9253736255783223
496,right,0.9069616720897364,0.9069616720897365,1,1,0.9669638775264274,0.9669638775264274
502,left,0.9874820149449072,0.9874820149449071,2,2,0.9940678031138002,0.9940678031138002
502,right,,,7,3,,
507,left,0.943445073595945,0.943445073595945,1,1,0.975862398710688,0.975862398710688
507,right,0.9453103597206194,0.9453103597206194,0,0,,
509,left,0.9361485624647484,0.9361485624647483,5,5,0.9636534886218918,0.9636534886218918
509,right,0.956771189918628,0.9567711899186281,5,5,,
512,left,0.9295407742076816,0.9295407742076817,2,2,0.9182875068317126,0.9182875068317126
512,right,0.935752357625098,0.935752357625098,1,1,,
527,left,0.9572953775956564,0.9580060627819399,8,6,0.9680170008895048,0.968736258518063
527,right,0.9503508571776008,0.9547872454316142,7,4,0.9530007902204112,0.9574503156949628
543,left,0.8993617860118746,0.900518255477267,4,3,0.9262267639245194,0.9274200528936353
543,right,0.9278141389507184,0.9277998206598604,2,1,,
544,left,0.9561106197074932,0.9561106197074933,1,1,,
544,right,0.9329330409552824,0.9329330409552824,1,1,0.9689830183008568,0.9689830183008569
546,left,0.968771680455872,0.9687716804558719,2,2,,
546,right,0.920769526614673,0.920769526614673,0,0,,
549,left,0.9251421437671028,0.9251421437671029,2,2,0.953485207274681,0.953485207274681
549,right,0.954884653989166,0.9548846539891659,1,1,0.9698523259768616,0.9698523259768616
554,left,0.97160174910819,0.9716017491081899,0,0,,
554,right,0.9509212941750534,0.9509212941750534,0,0,,
569,left,0.9615769448502718,0.9615769448502718,5,5,0.973271112938696,0.9732711129386961
569,right,0.9183779856772482,0.9248334116503413,3,2,0.9559391792398846,0.9626755950928404
580,left,0.95024264373218,0.9502404648978316,8,4,0.9809326263784482,
580,right,0.9747366121391622,0.9747366121391622,0,0,,
593,left,0.9254918739120076,0.9254918739120075,2,2,0.935399934164048,0.935399934164048
593,right,0.922130561164444,0.922130561164444,1,1,,
616,left,0.969862024740932,0.9698619069173051,6,4,,
616,right,0.92390829260054,0.92390829260054,0,0,,
618,left,0.94882984308819,0.9488298044640432,2,1,,
618,right,0.9739394986058004,0.9739394986058003,0,0,,
621,left,0.9450352467965628,0.948411029324366,7,5,0.9450352467965628,0.948411029324366
621,right,0.9637917576463104,0.9637917576463104,0,0,,
625,left,0.9451158547095596,0.9451158547095595,3,3,,
625,right,0.940010838935219,0.940010838935219,3,3,0.9447734380698428,0.9447734380698427
645,left,0.9840659284705516,0.9840656798055258,4,2,0.9857551398355696,0.985754890718155
645,right,0.946984629464622,0.9469846294646221,0,0,,
657,left,0.975956152444464,0.9759561524444641,1,1,0.97373087927972,0.9737308792797199
657,right,0.955628981871974,0.9556289818719741,0,0,,
659,left,0.9520168106935284,0.9520168106935285,1,1,,
659,right,0.926256544575421,0.9261892480167893,4,2,0.94435603968979,0.9443065582378168
661,left,0.9834432078468816,0.9834428310563383,4,3,0.980160999408313,0.9801606239505873
661,right,0.9480989068335904,0.9480989068335904,2,2,,
667,left,0.9540523058839528,0.9540523058839528,1,1,0.9568392088901604,0.9568392088901603
667,right,0.9400352551688406,0.9400352551688406,0,0,,
669,left,0.929080634171058,0.9290788503461884,4,2,0.9620259764264484,0.9620241253239207
669,right,0.935947886166788,0.935947886166788,0,0,,
675,left,0.9700297457471238,0.9700279732561082,3,2,,
675,right,0.9521915816140408,0.9521915816140407,3,3,0.9683432783494388,0.9683432783494387
676,left,0.9319123745004274,0.9324955543036748,10,6,0.9555335568137044,0.9562159760160015
