scan,side,min_r4,nl_r4,l20_r4
211,right,0.9232544506112139,1,0.9304708321822079
218,left,0.9479357625322361,6,0.9714863490319722
218,right,0.9475036156559515,1,0.9525728125856254
244,left,0.9593600887631141,1,
244,right,0.9585235858234045,1,
251,left,0.9711685130606065,3,
251,right,0.9549388853055798,0,
252,left,0.960071155517727,4,0.9589367585505733
252,right,0.9794780200480939,2,
265,left,0.9588854747506357,0,
265,right,0.9435307868951022,1,0.9696344249925629
271,left,0.9809840291739664,3,0.9779937927057826
271,right,0.9414986628160875,0,
272,left,0.9212470001803411,5,0.9498405888452405
272,right,0.968375978405528,2,
273,left,0.9313656725709767,4,0.9478564340301764
273,right,0.975223763347934,0,
274,left,0.9715965085625313,4,
274,right,0.9418974599805594,0,
280,left,0.9708233198696512,4,0.9763303292377058
280,right,0.9508003410560741,2,
284,left,0.9740408150876136,0,
284,right,0.9497756162042876,0,
300,left,0.9259861390993793,3,0.9776171717812561
300,right,0.9478735323135625,0,
306,left,0.9694186792110603,7,0.9828724144425441
306,right,0.9124620206339565,1,0.9545666491222581
316,left,0.9666084344741548,5,0.967252510718823
316,right,0.9676382952645256,0,
324,left,0.933516720449168,3,0.9355568218503285
324,right,0.8794454523222988,3,0.9029350624970036
328,left,0.9616894965298413,2,0.9616894965298413
328,right,0.93361712106923,3,0.9456789931758011
335,left,0.9322888885375035,6,0.9729989152805747
335,right,0.9366147454959447,0,
341,left,0.963011422984427,5,0.9672175050130566
341,right,0.9649465994617027,1,
342,left,0.9360254847418128,2,
342,right,0.9612022503901841,0,
354,left,0.9743090586509457,4,0.9715321400304661
354,right,0.9531951942589014,0,
363,left,0.9205161345759469,3,0.9637067672199991
363,right,0.9409214053693828,0,
368,left,0.9378058533612555,2,0.9378058533612555
368,right,0.8803899045733738,6,0.8801839320707325
377,left,0.9542018148486322,6,0.9636645657131496
377,right,0.8860382686449985,3,0.918299178357361
381,left,0.9545823208160841,6,0.9571696868492213
381,right,0.9372399855242278,1,0.9621822345471054
389,left,0.9055426117017192,6,0.9127590325301548
389,right,0.8148348092318055,5,0.9133320530029851
396,left,0.9824602756256181,3,0.980493595407973
396,right,0.7607154242191955,5,0.8086425547663448
406,left,0.9705752727562102,1,0.9651039128060255
406,right,0.8871717286930156,4,0.9221995964232975
408,left,0.9090737028642013,5,0.9322576944099054
408,right,0.8826680095692001,3,0.8834713319640981
417,left,0.9445980069237346,3,0.9769879189745267
417,right,0.9117798078287123,1,0.969390392322609
422,left,0.9053435983379976,3,0.9062466276072083
422,right,0.9570242747539118,2,
423,left,0.9560803180494616,3,0.9716678803585075
423,right,0.934077921284174,1,0.9604202989439388
431,left,0.8815487558555389,2,0.8815487558555389
431,right,0.9072609294119541,1,0.9657281210436582
436,left,0.9879931853521575,2,
436,right,0.9415885703311319,0,
448,left,0.9526479022189595,6,0.9614868741618843
448,right,0.9255788499328653,1,0.9567651243224498
454,left,0.9615153474266268,3,0.9760192849203686
454,right,0.9556905776110932,2,
461,left,0.9714642218035411,3,
461,right,0.9675941297260106,7,
465,left,0.9468480135218466,3,0.9518204451796535
465,right,0.9137938506858556,0,
466,left,0.9605722911202698,2,0.9605722911202698
466,right,0.9274126638161725,0,
471,left,0.9585791249039689,3,
471,right,0.9123459317567233,1,0.9652704299844972
473,left,0.9476930119500516,4,0.9579927106117071
473,right,0.9557118676469235,1,
474,left,0.9641451025572746,5,0.9771825033172354
474,right,0.91443907461603,2,0.9135916056399761
488,left,0.9578266570516061,7,0.9701752430253645
488,right,0.9428559757664392,4,0.9492674045793043
496,left,0.9198035863282104,3,0.9253736255783223
496,right,0.9069616720897365,1,0.9669638775264274
502,left,0.9874820149449071,2,0.9940678031138002
502,right,,3,
507,left,0.943445073595945,1,0.975862398710688
507,right,0.9453103597206194,0,
509,left,0.9361485624647483,5,0.9636534886218918
509,right,0.9567711899186281,5,
512,left,0.9295407742076817,2,0.9182875068317126
512,right,0.935752357625098,1,
527,left,0.9575479265450958,7,0.9682725961182336
527,right,0.953211867271577,5,0.9558702724597551
543,left,0.900518255477267,3,0.9274200528936353
543,right,0.9278141389507183,2,
544,left,0.9561106197074933,1,
544,right,0.9329330409552824,1,0.9689830183008569
546,left,0.9687716804558719,2,
546,right,0.920769526614673,0,
549,left,0.9251421437671029,2,0.953485207274681
549,right,0.9548846539891659,1,0.9698523259768616
554,left,0.9716017491081899,0,
554,right,0.9509212941750534,0,
569,left,0.9615769448502718,5,0.9732711129386961
569,right,0.9248334116503413,2,0.9626755950928404
580,left,0.950241229599048,5,0.9816098444439945
580,right,0.9747366121391622,0,
593,left,0.9254918739120075,2,0.935399934164048
593,right,0.922130561164444,1,
616,left,0.9698619807053863,5,
616,right,0.92390829260054,0,
618,left,0.9488298430881899,2,
618,right,0.9739394986058003,0,
621,left,0.9484110628640208,6,0.9484110628640208
621,right,0.9637917576463104,0,
625,left,0.9451158547095595,3,
625,right,0.940010838935219,3,0.9447734380698427
645,left,0.9840658364293021,3,0.985755047626872
645,right,0.9469846294646221,0,
657,left,0.9759561524444641,1,0.9737308792797199
657,right,0.9556289818719741,0,
659,left,0.9520168106935285,1,
659,right,0.9261892480167893,2,0.9443065582378168
661,left,0.9834432078468817,4,0.980160999408313
661,right,0.9480989068335904,2,
