scan,side,min_disk,min_cur,nl_disk,nl_cur,l20_disk,l20_cur,Qin_disk,Qin_cur
657,right,0.955628981871974,0.9556289818719741,0,0,,,0.3712691459398481,0.37126914593984817
659,left,0.9520168106935284,0.9520168106935285,1,1,,,2.008696895432249,2.008696895432249
659,right,0.926256544575421,0.926256544575421,4,4,0.94435603968979,0.9443560396897901,2.3586462129210495,2.3586462129210495
661,left,0.9834432078468816,0.9834432078468817,4,4,0.980160999408313,0.980160999408313,0.990293510901222,0.9902935109012219
661,right,0.9480989068335904,0.9480989068335904,2,2,,,1.1939413106891097,1.1939413106891095
667,left,0.9540523058839528,0.9540523058839528,1,1,0.9568392088901604,0.9568392088901603,1.4818283535790115,1.4818283535790115
667,right,0.9400352551688406,0.9400352551688406,0,0,,,0.5843569590000599,0.5843569590000599
669,left,0.929080634171058,0.9290806341710579,4,4,0.9620259764264484,0.9620259764264483,3.017999389564388,3.017999389564388
669,right,0.935947886166788,0.935947886166788,0,0,,,0.6964536597263109,0.6964536597263109
675,left,0.9700297457471238,0.9700279732561082,3,2,,,2.257961889053946,2.2582101007427746
675,right,0.9521915816140408,0.9521915816140407,3,3,0.9683432783494388,0.9683432783494387,2.9913446699641297,2.9913446699641297
676,left,0.9319123745004274,0.9318740769708969,10,8,0.9555335568137044,0.9562334133608513,0.9679634549023812,0.968321231025575
676,right,0.8845857925804163,0.8845857925804163,3,3,0.8796233811943113,0.8796233811943113,2.861425449899335,2.861425449899335
680,left,0.9717819860909868,0.9717819860909869,5,5,0.9775003053154064,0.9775003053154064,0.3109126819915888,0.31091268199158884
680,right,0.9436060971218848,0.9436060971218848,0,0,,,0.5854155675831582,0.5854155675831582
683,left,0.9852700899076255,0.9852700899076257,2,2,0.9864933132626318,0.9864933132626318,2.6924303342024207,2.6924303342024207
683,right,0.9586771782910952,0.9586771782910953,2,2,0.9585597701692126,0.9585597701692126,3.813860441585984,3.813860441585984
686,left,0.9688113677494684,0.9688113677494684,5,5,0.9578283557645868,0.9578283557645869,1.6102175750244532,1.6102175750244532
686,right,0.8609294741938509,0.8683251074731784,5,3,0.8600819772827243,0.8674698281193682,2.5415877144479695,2.544441167211022
687,left,0.939811652159934,0.939811652159934,3,3,0.9663111640002394,0.9663111640002394,2.4165057155132765,2.4165057155132765
687,right,0.918332387596982,0.918332387596982,1,1,,,0.8202571305105617,0.8202571305105617
690,left,0.9258408927019092,0.9258408927019092,3,3,0.9668735320402913,0.9668735320402913,2.434189078231831,2.434189078231831
690,right,0.976343532750104,0.9763435327501041,2,2,,,1.6336264646143763,1.6336264646143765
698,left,0.9649225132864918,0.9649225132864918,2,2,,,2.2892667257769403,2.2892667257769403
698,right,0.9548374023592668,0.9548374023592667,1,1,,,1.33588043855094,1.33588043855094
725,left,0.9442435574982972,0.9442435574982972,1,1,0.9442435574982972,0.9442435574982972,2.021565249412642,2.021565249412642
