scan,side,cut_mm,ok,n_outlets,single_outlet,n_slots,n_slots_with_deletable
830,right,0.6,True,2,False,2,2
830,right,0.75,True,1,True,2,0
830,right,1.0,True,1,True,0,0
832,left,0.6,True,6,False,8,8
832,left,0.75,True,5,False,8,4
832,left,1.0,True,2,False,4,0
844,left,0.6,True,5,False,8,6
844,left,0.75,True,5,False,8,6
844,left,1.0,True,3,False,4,0
847,left,0.6,True,4,False,6,3
847,left,0.75,True,4,False,6,3
847,left,1.0,True,3,False,8,1
869,right,0.6,True,2,False,4,4
869,right,0.75,True,2,False,4,4
869,right,1.0,True,1,True,4,0
890,right,0.6,True,3,False,4,4
890,right,0.75,True,1,True,4,0
890,right,1.0,True,1,True,4,0
907,left,0.6,True,7,False,2,2
907,left,0.75,True,5,False,2,2
907,left,1.0,True,3,False,1,0
908,left,0.6,True,7,False,4,4
908,left,0.75,True,6,False,4,4
908,left,1.0,True,2,False,1,0
928,left,0.6,True,5,False,6,4
928,left,0.75,True,5,False,6,4
928,left,1.0,True,3,False,0,0
928,right,0.6,True,3,False,4,4
928,right,0.75,True,3,False,4,4
928,right,1.0,True,1,True,4,0
935,left,0.6,True,3,False,6,0
935,left,0.75,True,3,False,6,0
935,left,1.0,True,2,False,2,0
937,left,0.6,True,6,False,6,6
937,left,0.75,True,6,False,6,6
937,left,1.0,True,1,True,2,0
947,left,0.6,True,5,False,4,4
947,left,0.75,True,5,False,4,4
947,left,1.0,True,4,False,2,0
958,left,0.6,True,5,False,2,2
958,left,0.75,True,5,False,2,2
958,left,1.0,True,3,False,0,0
980,right,0.6,True,2,False,4,4
980,right,0.75,True,2,False,4,4
980,right,1.0,True,2,False,4,4
984,left,0.6,True,7,False,6,6
984,left,0.75,True,7,False,6,6
984,left,1.0,True,3,False,3,0
984,right,0.6,True,3,False,4,4
984,right,0.75,True,3,False,4,4
984,right,1.0,True,2,False,4,4
985,left,0.6,True,5,False,4,2
985,left,0.75,True,5,False,4,2
985,left,1.0,True,3,False,2,0
997,right,0.6,True,3,False,4,4
997,right,0.75,True,2,False,4,4
997,right,1.0,True,1,True,4,0
