run_id,terr_id,root_node,root_xyz_mm,Q_target_mls,Q_achieved_mls,residual,sum_w,n_nodes,n_outlets,contains_lesion,contains_error
280_left_LAD_prox_20mm_80ds_leaky_T4_taper_A_fixed,0,33,53.2765;-149.1457;159.4388,0.9105862383036487,0.8903260075968831,-0.022249656160528826,4.897383960670925e-09,426,4,True,False
280_left_LAD_prox_20mm_80ds_leaky_T4_taper_A_fixed,1,37,53.0494;-148.2914;158.8814,0.4166551314242307,0.41667578492622515,4.9569777105118515e-05,2.103405089259618e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_leaky_T4_taper_B_rederived,0,33,53.2765;-149.1457;159.4388,0.9105862383036487,0.913128851326313,0.0027922814069769376,4.897383960670925e-09,426,4,True,False
280_left_LAD_prox_20mm_80ds_leaky_T4_taper_B_rederived,1,37,53.0494;-148.2914;158.8814,0.4166551314242307,0.42969367344074866,0.031293367183428004,2.103405089259618e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_leaky_T4_taper_C_flowmatched,0,33,53.2765;-149.1457;159.4388,0.9105862383036487,0.8978278545332216,-0.014011175695115907,4.897383960670925e-09,426,4,True,False
280_left_LAD_prox_20mm_80ds_leaky_T4_taper_C_flowmatched,1,37,53.0494;-148.2914;158.8814,0.4166551314242307,0.42191479126387954,0.012623533092392192,2.103405089259618e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_discrete_clean_none,0,33,53.2765;-149.1457;159.4388,0.7031303980628842,0.7031303980628842,0.0,1.0964937029550782e-08,340,4,True,False
280_left_LAD_prox_20mm_80ds_discrete_clean_none,1,37,53.0494;-148.2914;158.8814,0.537635190477166,0.537635190477166,0.0,6.734363422865612e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_discrete_T2_truncation_A_fixed,0,33,53.2765;-149.1457;159.4388,0.7031303980628842,0.6162742160363034,-0.12352784386206117,1.1136846739061775e-08,223,4,True,True
280_left_LAD_prox_20mm_80ds_discrete_T2_truncation_A_fixed,1,37,53.0494;-148.2914;158.8814,0.537635190477166,0.537749383776693,0.00021239922823063228,6.734363422865612e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_discrete_T2_truncation_B_rederived,0,33,53.2765;-149.1457;159.4388,0.7031303980628842,0.7042138858135637,0.001540948526282392,1.1136846739061775e-08,223,4,True,True
280_left_LAD_prox_20mm_80ds_discrete_T2_truncation_B_rederived,1,37,53.0494;-148.2914;158.8814,0.537635190477166,0.5295373591582561,-0.015061944348774703,6.734363422865612e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_discrete_T2_truncation_C_flowmatched,0,33,53.2765;-149.1457;159.4388,0.7031303980628842,0.7089817746104886,0.00832189386737476,1.1136846739061775e-08,223,4,True,True
280_left_LAD_prox_20mm_80ds_discrete_T2_truncation_C_flowmatched,1,37,53.0494;-148.2914;158.8814,0.537635190477166,0.533901920548051,-0.006943871969767763,6.734363422865612e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_A_fixed,0,33,53.2765;-149.1457;159.4388,0.7031303980628842,0.6977861627401765,-0.007600631884826959,1.0964937029550782e-08,340,4,True,False
