scan,side,vessel,loc,L_mm,ds_pct,bed,band_cohort,ffr_clean,error_type,protocol,n_territories,w_sum,r_ref_root_mm,L_resolved_mm,n_outlets,run_id,draw,status,draw_co,draw_map_mmhg,draw_mu,draw_share_sd,draw_wscv,C_clean,C,C_abs,C_ratio,ffr,dFFR,flip,outlet_flow_residual,passes_check,fit_n_basins,fit_at_bound,inflow_mls,converged
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,negative,C_flowmatched,2,1.7699300452416392e-08,1.3659230584244235,172.50067639977587,6,280_left_LAD_prox_20mm_80ds_discrete_negative_draw1,1,ok,1.0588695109133455,91.85808605825456,0.003960582625685228,0.1,0.083,135.35396285081254,118.26842981243271,118.26842981243271,0.8737714605577412,0.5789786301087136,-0.03523928742684801,0,0.09094137212869066,1,1,False,1.3926726048127143,True
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,negative,C_flowmatched,2,1.7699300452416392e-08,1.3659230584244235,172.50067639977587,6,280_left_LAD_prox_20mm_80ds_discrete_negative_draw2,2,ok,0.9810727568008166,86.93649836447011,0.004085241995567726,0.1,0.083,135.35396285081254,129.84624383092608,129.84624383092608,0.959308771580208,0.6034059644750744,-0.010811953060487212,0,0.10578638078347685,0,1,False,1.2858333184200048,True
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,negative,C_flowmatched,2,7.163720355824948e-09,1.1893333884879358,306.73661574964603,6,306_left_LAD_prox_20mm_80ds_leaky_negative_draw0,0,ok,0.9483934360438523,84.49359953816902,0.004086552844008887,0.1,0.083,85.02648210033489,96.956503386357,96.956503386357,1.1403094776042149,0.7255733486760658,0.033207279808475265,0,0.21630072885900437,0,1,False,0.7068397620809437,True
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,negative,C_flowmatched,2,7.163720355824948e-09,1.1893333884879358,306.73661574964603,6,306_left_LAD_prox_20mm_80ds_leaky_negative_draw1,1,ok,0.9833726951148765,94.7531036284933,0.004139644058939021,0.1,0.083,85.02648210033489,76.11503755327277,76.11503755327277,0.895192129241026,0.6629806424885051,-0.029385426379085477,0,0.002764532494202825,1,1,False,0.8622567413732275,True
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,negative,C_flowmatched,2,7.163720355824948e-09,1.1893333884879358,306.73661574964603,6,306_left_LAD_prox_20mm_80ds_leaky_negative_draw2,2,ok,1.0414557716828177,90.45569983344726,0.0039194942818756495,0.1,0.083,85.02648210033489,85.93967403079614,85.93967403079614,1.0107400883572208,0.695138987793974,0.0027729189263834275,0,0.17225137159400114,0,1,False,0.7810555100795574,True
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,negative,C_flowmatched,2,1.8164218154922475e-08,1.1893333884879358,306.73661574964603,6,306_left_LAD_prox_20mm_80ds_discrete_negative_draw0,0,ok,1.0176327307139639,93.87985149451399,0.004082338774177079,0.1,0.083,212.12007898488588,212.93543610469595,212.93543610469595,1.0038438469555169,0.6892036705098614,0.0009704054543502316,0,0.10046275229471671,0,1,False,0.7743894299423256,True
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,negative,C_flowmatched,2,1.8164218154922475e-08,1.1893333884879358,306.73661574964603,6,306_left_LAD_prox_20mm_80ds_discrete_negative_draw1,1,ok,0.9838824365062288,79.8408865728388,0.00404144978370906,0.1,0.083,212.12007898488588,235.78396210473096,235.78396210473096,1.1115589020760792,0.7144881370847511,0.02625487202923993,0,0.19099021261059623,0,1,False,0.713413193832061,True
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,negative,C_flowmatched,2,1.8164218154922475e-08,1.1893333884879358,306.73661574964603,6,306_left_LAD_prox_20mm_80ds_discrete_negative_draw2,2,ok,0.9490747874818001,89.96732831938778,0.0040421042057668865,0.1,0.083,212.12007898488588,232.1395362027637,232.1395362027637,1.0943779453302216,0.7106893618230831,0.022456096767571876,0,0.019430414871910363,1,1,False,0.7224697080498969,True
335,left,LAD,prox,10.0,70,leaky,"[0.65, 0.7)",0.6901801724038662,negative,C_flowmatched,2,1.6475295699489253e-08,2.25770169776871,247.34729239972998,4,335_left_LAD_prox_10mm_70ds_leaky_negative_draw0,0,ok,1.033787170360796,87.27689120002228,0.003942990616331116,0.1,0.083,28.54958012337657,25.12153866189882,25.12153866189882,0.8799267293367006,0.6527903707774354,-0.037389801626430796,0,0.023988150832578214,1,1,False,6.878880528202469,True
335,left,LAD,prox,10.0,70,leaky,"[0.65, 0.7)",0.6901801724038662,negative,C_flowmatched,2,1.6475295699489253e-08,2.25770169776871,247.34729239972998,4,335_left_LAD_prox_10mm_70ds_leaky_negative_draw1,1,ok,0.9387189610413039,91.00110703478556,0.004109537872326762,0.1,0.083,28.54958012337657,34.57085012097742,34.57085012097742,1.2109057286159735,0.74293668283418,0.05275651043031382,0,0.1371255134728923,0,1,False,5.103558920693118,True
