scan,side,vessel,loc,L_mm,ds_pct,bed,band_cohort,ffr_clean,flip_clean,n_outlets_clean,error_type,protocol,status,meas_same_point,n_outlets,n_outlets_shared,n_territories,info_cut_arc_mm,info_length_lost_mm,info_segments_deleted,C_clean,C,C_ratio,ffr,dFFR,flip,flip_dir,outlet_flow_residual,inflow_mls,inflow_clean_mls,converged,iters,mass_err,fit_n_basins,fit_loss_at_Cstart,fit_loss,fit_at_bound,info_length_delta_mm,info_radius_scale,info_segments_scaled,info_from_arc_mm,info_branch_r_mm,info_branch_arc_mm,info_branch_to_host_ratio
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,1,6,T1_missed_branch,,skipped: no deletable downstream branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,1,6,T2_truncation,A_fixed,ok,False,6.0,6.0,3.0,70.30771343813939,81.07699021827673,0.0,51.508101534724524,51.508101534724524,1.0,0.9962532982424066,0.5283196161268251,1.0,to_negative,0.000533549257300629,2.9934386582401924,3.3196120524180137,True,28.0,6.539845212144837e-12,,,,,,,,,,,
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,1,6,T2_truncation,B_rederived,ok,False,6.0,6.0,3.0,70.30771343813939,81.07699021827673,0.0,51.508101534724524,68.59540003337847,1.331740017386089,0.28243566105029044,-0.185498021065291,0.0,,0.2064079321151075,2.7105476421994075,3.3196120524180137,True,28.0,3.290417507982699e-12,,,,,,,,,,,
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,1,6,T2_truncation,C_flowmatched,ok,False,6.0,6.0,3.0,70.30771343813939,81.07699021827673,0.0,51.508101534724524,60.464748804044426,1.1738881263810843,0.259764454438896,-0.20816922767668544,0.0,,0.18298297542133962,2.999293783004914,3.3196120524180137,True,28.0,2.0092116142098e-12,1.0,0.042604234440034826,0.03348276929404658,False,,,,,,,
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,1,6,T3_stenosis_length,A_fixed,ok,True,6.0,6.0,3.0,,,,51.508101534724524,51.508101534724524,1.0,0.45470831216100704,-0.013225369954574406,0.0,,0.0043720963700796854,3.309151353079271,3.3196120524180137,True,28.0,7.550509243059338e-12,,,,,2.46,,,,,,
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,1,6,T3_stenosis_length,B_rederived,ok,True,6.0,6.0,3.0,,,,51.508101534724524,51.508101534724524,1.0,0.45470831216100704,-0.013225369954574406,0.0,,0.0043720963700796854,3.309151353079271,3.3196120524180137,True,28.0,7.550509243059338e-12,,,,,2.46,,,,,,
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,1,6,T3_stenosis_length,C_flowmatched,ok,True,6.0,6.0,3.0,,,,51.508101534724524,51.374968314417146,0.99741529552943,0.4541746036536983,-0.013759078461883123,0.0,,0.00379243912681227,3.316232187864179,3.3196120524180137,True,28.0,8.315207149479947e-12,1.0,1.911522666926396e-05,1.4382594530576616e-05,False,2.46,,,,,,
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,1,6,T4_taper,A_fixed,ok,True,6.0,6.0,3.0,,,,51.508101534724524,51.508101534724524,1.0,0.452331364981422,-0.015602317134159438,0.0,,0.01390764739353123,3.286336546659958,3.3196120524180137,True,28.0,7.341961687866337e-12,,,,,,0.93,1.0,35.52663793380648,,,
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,1,6,T4_taper,B_rederived,ok,True,6.0,6.0,3.0,,,,51.508101534724524,48.42926761170096,0.9402262201229072,0.5025500736117882,0.03461639149620671,0.0,,0.0460048394219134,3.4334878357893244,3.3196120524180137,True,28.0,3.0026789115260195e-12,,,,,,0.93,1.0,35.52663793380648,,,
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,1,6,T4_taper,C_flowmatched,ok,True,6.0,6.0,3.0,,,,51.508101534724524,50.772412307402725,0.9857170191600669,0.5126226132296211,0.044688931114039654,0.0,,0.02119077256345984,3.3007037425386856,3.3196120524180137,True,28.0,6.631367156012438e-12,1.0,0.0021164452502360374,0.00044904884183628234,False,,0.93,1.0,35.52663793380648,,,
