scan,side,vessel,loc,L_mm,ds_pct,bed,band_cohort,ffr_clean,flip_clean,n_outlets_clean,error_type,protocol,status,meas_same_point,n_outlets,n_outlets_shared,n_territories,info_cut_arc_mm,info_length_lost_mm,info_segments_deleted,C_clean,C,C_ratio,ffr,dFFR,flip,flip_dir,outlet_flow_residual,inflow_mls,inflow_clean_mls,converged,iters,mass_err,fit_n_basins,fit_loss_at_Cstart,fit_loss,fit_at_bound,info_length_delta_mm,info_radius_scale,info_segments_scaled,info_from_arc_mm,info_branch_r_mm,info_branch_arc_mm,info_branch_to_host_ratio
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,1,6,T2_truncation,A_fixed,ok,True,6.0,6.0,2.0,55.40998545385412,61.95270781042658,0.0,135.35396285081254,135.35396285081254,1.0,0.7942602840939871,0.18004236655842543,0.0,,0.0873475051808634,1.1540235998019952,1.2407655885400135,True,28.0,9.532779193241434e-12,,,,,,,,,,,
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,1,6,T2_truncation,B_rederived,ok,True,6.0,6.0,2.0,55.40998545385412,61.95270781042658,0.0,135.35396285081254,137.52056499075007,1.016006935403329,0.5982679191927662,-0.015949998342795424,0.0,,0.010705995748323415,1.2337512449618195,1.2407655885400135,True,28.0,8.105419156512169e-12,,,,,,,,,,,
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,1,6,T2_truncation,C_flowmatched,ok,True,6.0,6.0,2.0,55.40998545385412,61.95270781042658,0.0,135.35396285081254,136.3427788818378,1.0073054087977842,0.5959083763946822,-0.01830954114087946,0.0,,0.007663917910324199,1.242883695152422,1.2407655885400135,True,28.0,4.922008171132334e-12,1.0,0.00011461834496311904,5.8735637736188036e-05,False,,,,,,,
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,1,6,T3_stenosis_length,A_fixed,ok,True,6.0,6.0,2.0,,,,135.35396285081254,135.35396285081254,1.0,0.5992810494711931,-0.014936868064368558,0.0,,0.00537446629181935,1.235428379495919,1.2407655885400135,True,28.0,1.2481690610876462e-12,,,,,2.46,,,,,,
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,1,6,T3_stenosis_length,B_rederived,ok,True,6.0,6.0,2.0,,,,135.35396285081254,135.35396285081254,1.0,0.5992810494711931,-0.014936868064368558,0.0,,0.00537446629181935,1.235428379495919,1.2407655885400135,True,28.0,1.2481690610876462e-12,,,,,2.46,,,,,,
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,1,6,T3_stenosis_length,C_flowmatched,ok,True,6.0,6.0,2.0,,,,135.35396285081254,134.82839068924287,0.9961170537566827,0.5982702717804608,-0.01594764575510088,0.0,,0.0041625106756504595,1.2395694878454024,1.2407655885400135,True,28.0,6.464456827822374e-12,1.0,2.8884887921902436e-05,1.7326495124904048e-05,False,2.46,,,,,,
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,1,6,T4_taper,A_fixed,ok,True,6.0,6.0,2.0,,,,135.35396285081254,135.35396285081254,1.0,0.560791424773007,-0.05342649276255462,0.0,,0.26301559470946057,0.9795732888292853,1.2407655885400135,True,28.0,1.002182477883818e-11,,,,,,0.93,5.0,10.319623109829665,,,
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,1,6,T4_taper,B_rederived,ok,True,6.0,6.0,2.0,,,,135.35396285081254,119.39470819968511,0.8820924462424661,0.5777565733631,-0.03646134417246161,0.0,,0.1158894273465258,1.2363702629709754,1.2407655885400135,True,28.0,5.214098232858422e-12,,,,,,0.93,5.0,10.319623109829665,,,
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,1,6,T4_taper,C_flowmatched,ok,True,6.0,6.0,2.0,,,,135.35396285081254,124.17437275502978,0.9174047818008482,0.5878240620211767,-0.026393855514385,0.0,,0.11045344666250367,1.1952091345796092,1.2407655885400135,True,28.0,3.4103942000562143e-12,1.0,0.01343035937070568,0.012199963879626545,False,,0.93,5.0,10.319623109829665,,,
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T1_missed_branch,A_fixed,ok,True,5.0,5.0,2.0,,,1.0,85.02648210033489,85.02648210033489,1.0,0.785942948720227,0.09357687985263641,0.0,,0.11716374159648195,0.7118425930674059,0.7879321601287625,True,28.0,1.8770926147251933e-12,,,,,,,,,1.0645663033940767,31.20773847307787,0.789771064323342
