run_id,station_mm,s_from_lesion_mm,kind,node,ffr,Q_mls,r_mm,r_ref_mm,r_fit_mm,q_norm,n_children,orphan_frac,resolved
335_left_LAD_prox_10mm_70ds_leaky_clean_none,55.0,34.97907861106798,grid,388,0.6886783123738731,0.2585506837362589,0.9887904784510063,1.0005218891763705,1.0005218891763705,0.45933505602304586,1,0.006249274698111521,1
335_left_LAD_prox_10mm_70ds_leaky_clean_none,60.0,39.979078611067976,grid,400,0.6874652089761598,0.23885758832676673,0.9928268919980748,0.9752217126421162,0.9752217126421162,0.45823962566795273,1,0.00764836016967533,1
335_left_LAD_prox_10mm_70ds_leaky_clean_none,65.0,44.979078611067976,grid,411,0.6863071308551547,0.219542440607819,0.8997708051691484,0.9490139296786071,0.9490139296786071,0.45705073435698074,1,0.0071848838255211085,1
335_left_LAD_prox_10mm_70ds_leaky_clean_none,70.0,49.97907861106798,grid,422,0.6846662251949905,0.20066675709529175,0.8882405731290302,0.9218598821354421,0.9218598821354421,0.4557685670384822,1,0.00844713998417531,1
335_left_LAD_prox_10mm_70ds_leaky_clean_none,75.0,54.979078611067976,grid,432,0.6829903538943679,0.18401088588147732,0.7966889007925059,0.8964288532810311,0.8964288532810311,0.4545270356414456,1,0.009223259857904882,1
335_left_LAD_prox_10mm_70ds_leaky_clean_none,80.0,59.979078611067976,grid,441,0.6807209999487454,0.1690338010207034,0.7400078820069514,0.8721838205075806,0.8721838205075806,0.4533286467316829,1,0.010618948560166586,1
335_left_LAD_prox_10mm_70ds_leaky_clean_none,85.0,64.97907861106799,grid,450,0.6774288301143256,0.15358308617654629,0.6135743938260547,0.8455596210509824,0.8455596210509824,0.4520374000556155,1,0.008938294295450292,1
335_left_LAD_prox_10mm_70ds_leaky_clean_none,90.0,69.97907861106798,grid,461,0.6721508885952876,0.13987027492119816,0.6316646186766428,0.8202492959274937,0.8202492959274937,0.4509740102669074,1,0.010028747753278121,1
335_left_LAD_prox_10mm_70ds_leaky_clean_none,95.0,74.97907861106798,grid,470,0.6691240235749273,0.1266876506381599,0.6967762093431852,0.7941665147906422,0.7941665147906422,0.4500525764239588,1,0.011448655331961217,1
335_left_LAD_prox_10mm_70ds_leaky_clean_none,100.0,79.97907861106798,grid,479,0.6664989273376735,0.11456377184167318,0.6310542024148337,0.7684506765453055,0.7684506765453055,0.44922404724957554,1,0.010554569751390913,1
335_left_LAD_prox_10mm_70ds_leaky_T2_truncation_A_fixed,0.0,-20.02092138893202,grid,12,0.9989428125999839,2.6758392099695585,1.98775352492731,1.9411608622143444,1.9411608622143444,0.6509372402851351,1,0.025993060842501144,1
335_left_LAD_prox_10mm_70ds_leaky_T2_truncation_A_fixed,5.0,-15.020921388932019,grid,24,0.998101098884327,1.8807155178335258,1.8050147210462242,1.7444247349015594,1.7444247349015594,0.6304201473278035,1,0.025120835780234413,1
